Lambda,Error,
0.003623,6288.63375675,
0.003624,6288.63217262,
0.003625,6288.63059212,
0.003626,6288.62901525,
0.003627,6288.62744202,
0.003628,6288.62587242,
0.003629,6288.62430646,
0.00363,6288.62274414,
0.003631,6288.62118547,
0.003632,6288.61963045,
0.003633,6288.61807907,
0.003634,6288.61653135,
0.003635,6288.61498729,
0.003636,6288.61344689,
0.003637,6288.61191015,
0.003638,6288.61037708,
0.003639,6288.60884768,
0.00364,6288.60732194,
0.003641,6288.60579989,
0.003642,6288.60428151,
0.003643,6288.6027668,
0.003644,6288.60125579,
0.003645,6288.59974846,
0.003646,6288.59824482,
0.003647,6288.59674487,
0.003648,6288.59524861,
0.003649,6288.59375605,
0.00365,6288.5922672,
0.003651,6288.59078205,
0.003652,6288.5893006,
0.003653,6288.58782286,
0.003654,6288.58634884,
0.003655,6288.58487853,
0.003656,6288.58341194,
0.003657,6288.58194907,
0.003658,6288.58048993,
0.003659,6288.57903451,
0.00366,6288.57758282,
0.003661,6288.57613486,
0.003662,6288.57469065,
0.003663,6288.57325016,
0.003664,6288.57181343,
0.003665,6288.57038043,
0.003666,6288.56895118,
0.003667,6288.56752569,
0.003668,6288.56610394,
0.003669,6288.56468596,
0.00367,6288.56327173,
0.003671,6288.56186126,
0.003672,6288.56045456,
0.003673,6288.55905163,
0.003674,6288.55765247,
0.003675,6288.55625708,
0.003676,6288.55486547,
0.003677,6288.55347764,
0.003678,6288.55209359,
0.003679,6288.55071333,
0.00368,6288.54933685,
0.003681,6288.54796417,
0.003682,6288.54659528,
0.003683,6288.54523019,
0.0036839999999999998,6288.54386889,
0.003685,6288.5425114,
0.003686,6288.54115772,
0.003687,6288.53980785,
0.003688,6288.53846178,
0.003689,6288.53711954,
0.00369,6288.53578111,
0.003691,6288.5344465,
0.003692,6288.53311571,
0.003693,6288.53178875,
0.003694,6288.53046562,
0.003695,6288.52914633,
0.003696,6288.52783086,
0.0036969999999999998,6288.52651924,
0.003698,6288.52521146,
0.003699,6288.52390752,
0.0037,6288.52260743,
0.003701,6288.52131118,
0.003702,6288.52001879,
0.003703,6288.51873026,
0.003704,6288.51744559,
0.003705,6288.51616477,
0.003706,6288.51488782,
0.003707,6288.51361474,
0.003708,6288.51234553,
0.003709,6288.5110802,
0.0037099999999999998,6288.50981874,
0.003711,6288.50856115,
0.003712,6288.50730745,
0.003713,6288.50605764,
0.003714,6288.50481171,
0.003715,6288.50356968,
0.003716,6288.50233154,
0.003717,6288.50109729,
0.003718,6288.49986695,
0.003719,6288.4986405,
0.0037199999999999998,6288.49741797,
0.003721,6288.49619934,
0.003722,6288.49498462,
0.0037229999999999997,6288.49377382,
0.003724,6288.49256694,
0.003725,6288.49136397,
0.003726,6288.49016493,
0.003727,6288.48896982,
0.003728,6288.48777863,
0.003729,6288.48659138,
0.00373,6288.48540806,
0.003731,6288.48422867,
0.003732,6288.48305323,
0.0037329999999999998,6288.48188174,
0.003734,6288.48071419,
0.003735,6288.47955059,
0.0037359999999999997,6288.47839094,
0.003737,6288.47723525,
0.003738,6288.47608351,
0.003739,6288.47493574,
0.00374,6288.47379193,
0.003741,6288.47265209,
0.003742,6288.47151622,
0.003743,6288.47038432,
0.003744,6288.4692564,
0.003745,6288.46813246,
0.003746,6288.4670125,
0.003747,6288.46589652,
0.003748,6288.46478454,
0.0037489999999999997,6288.46367654,
0.00375,6288.46257254,
0.003751,6288.46147253,
0.003752,6288.46037652,
0.003753,6288.45928452,
0.003754,6288.45819652,
0.003755,6288.45711253,
0.003756,6288.45603255,
0.003757,6288.45495658,
0.003758,6288.45388463,
0.003759,6288.45281671,
0.00376,6288.4517528,
0.003761,6288.45069292,
0.0037619999999999997,6288.44963707,
0.003763,6288.44858525,
0.003764,6288.44753747,
0.003765,6288.44649373,
0.003766,6288.44545402,
0.003767,6288.44441836,
0.003768,6288.44338675,
0.0037689999999999998,6288.44235918,
0.00377,6288.44133567,
0.003771,6288.44031621,
0.003772,6288.43930081,
0.003773,6288.43828947,
0.003774,6288.4372822,
0.0037749999999999997,6288.43627899,
0.003776,6288.43527986,
0.003777,6288.43428479,
0.003778,6288.43329381,
0.003779,6288.4323069,
0.00378,6288.43132407,
0.003781,6288.43034533,
0.0037819999999999998,6288.42937068,
0.003783,6288.42840011,
0.003784,6288.42743365,
0.003785,6288.42647127,
0.003786,6288.425513,
0.003787,6288.42455883,
0.0037879999999999997,6288.42360876,
0.003789,6288.4226628,
0.00379,6288.42172096,
0.003791,6288.42078323,
0.003792,6288.41984961,
0.003793,6288.41892012,
0.003794,6288.41799475,
0.0037949999999999998,6288.4170735,
0.003796,6288.41615638,
0.003797,6288.4152434,
0.003798,6288.41433455,
0.003799,6288.41342984,
0.0038,6288.41252927,
0.0038009999999999997,6288.41163284,
0.003802,6288.41074056,
0.003803,6288.40985242,
0.003804,6288.40896844,
0.003805,6288.40808862,
0.003806,6288.40721296,
0.003807,6288.40634145,
0.0038079999999999998,6288.40547411,
0.003809,6288.40461094,
0.00381,6288.40375193,
0.003811,6288.4028971,
0.003812,6288.40204645,
0.003813,6288.40119998,
0.0038139999999999997,6288.40035768,
0.003815,6288.39951957,
0.003816,6288.39868565,
0.003817,6288.39785592,
0.0038179999999999998,6288.39703039,
0.003819,6288.39620905,
0.00382,6288.39539191,
0.0038209999999999997,6288.39457897,
0.003822,6288.39377024,
0.003823,6288.39296571,
0.003824,6288.3921654,
0.003825,6288.3913693,
0.003826,6288.39057742,
0.003827,6288.38978976,
0.003828,6288.38900632,
0.003829,6288.38822711,
0.00383,6288.38745213,
0.0038309999999999998,6288.38668137,
0.003832,6288.38591486,
0.003833,6288.38515258,
0.0038339999999999997,6288.38439454,
0.003835,6288.38364075,
0.003836,6288.3828912,
0.003837,6288.3821459,
0.003838,6288.38140485,
0.003839,6288.38066806,
0.00384,6288.37993553,
0.003841,6288.37920726,
0.003842,6288.37848325,
0.003843,6288.37776351,
0.0038439999999999998,6288.37704805,
0.003845,6288.37633685,
0.003846,6288.37562993,
0.0038469999999999997,6288.37492729,
0.003848,6288.37422893,
0.003849,6288.37353485,
0.00385,6288.37284507,
0.003851,6288.37215957,
0.003852,6288.37147837,
0.003853,6288.37080146,
0.003854,6288.37012886,
0.003855,6288.36946055,
0.003856,6288.36879655,
0.0038569999999999998,6288.36813686,
0.003858,6288.36748149,
0.003859,6288.36683042,
0.0038599999999999997,6288.36618367,
0.003861,6288.36554125,
0.003862,6288.36490314,
0.003863,6288.36426937,
0.003864,6288.36363992,
0.003865,6288.3630148,
0.003866,6288.36239402,
0.0038669999999999998,6288.36177757,
0.003868,6288.36116547,
0.003869,6288.36055771,
0.0038699999999999997,6288.35995429,
0.003871,6288.35935523,
0.003872,6288.35876052,
0.0038729999999999997,6288.35817016,
0.003874,6288.35758416,
0.003875,6288.35700253,
0.003876,6288.35642526,
0.003877,6288.35585235,
0.003878,6288.35528382,
0.003879,6288.35471965,
0.0038799999999999998,6288.35415987,
0.003881,6288.35360446,
0.003882,6288.35305344,
0.0038829999999999997,6288.3525068,
0.003884,6288.35196454,
0.003885,6288.35142668,
0.0038859999999999997,6288.35089321,
0.003887,6288.35036414,
0.003888,6288.34983947,
0.003889,6288.3493192,
0.00389,6288.34880334,
0.003891,6288.34829188,
0.003892,6288.34778484,
0.0038929999999999998,6288.3472822,
0.003894,6288.34678399,
0.003895,6288.3462902,
0.0038959999999999997,6288.34580083,
0.003897,6288.34531588,
0.003898,6288.34483537,
0.0038989999999999997,6288.34435928,
0.0039,6288.34388764,
0.003901,6288.34342042,
0.003902,6288.34295765,
0.003903,6288.34249933,
0.003904,6288.34204545,
0.003905,6288.34159602,
0.0039059999999999997,6288.34115104,
0.003907,6288.34071052,
0.003908,6288.34027445,
0.003909,6288.33984285,
0.00391,6288.33941571,
0.0039109999999999995,6288.33899304,
0.003912,6288.33857483,
0.003913,6288.3381611,
0.003914,6288.33775185,
0.003915,6288.33734708,
0.003916,6288.33694678,
0.0039169999999999995,6288.33655097,
0.003918,6288.33615965,
0.003919,6288.33577282,
0.00392,6288.33539049,
0.003921,6288.33501265,
0.003922,6288.33463931,
0.003923,6288.33427047,
0.0039239999999999995,6288.33390614,
0.003925,6288.33354631,
0.003926,6288.333191,
0.003927,6288.3328402,
0.003928,6288.33249391,
0.003929,6288.33215215,
0.0039299999999999995,6288.33181491,
0.003931,6288.3314822,
0.003932,6288.33115401,
0.003933,6288.33083036,
0.003934,6288.33051124,
0.003935,6288.33019666,
0.003936,6288.32988662,
0.0039369999999999995,6288.32958112,
0.003938,6288.32928017,
0.003939,6288.32898376,
0.00394,6288.32869191,
0.003941,6288.32840462,
0.003942,6288.32812188,
0.003943,6288.32784371,
0.003944,6288.32757009,
0.003945,6288.32730105,
0.003946,6288.32703657,
0.003947,6288.32677667,
0.003948,6288.32652134,
0.003949,6288.32627059,
0.0039499999999999995,6288.32602443,
0.003951,6288.32578284,
0.003952,6288.32554585,
0.003953,6288.32531344,
0.003954,6288.32508563,
0.003955,6288.32486242,
0.0039559999999999994,6288.3246438,
0.003957,6288.32442978,
0.003958,6288.32422037,
0.003959,6288.32401557,
0.00396,6288.32381538,
0.003961,6288.3236198,
0.003962,6288.32342884,
0.0039629999999999995,6288.3232425,
0.003964,6288.32306078,
0.003965,6288.32288369,
0.003966,6288.32271123,
0.003967,6288.32254339,
0.003968,6288.32238019,
0.003969,6288.32222163,
0.00397,6288.32206771,
0.003971,6288.32191843,
0.003972,6288.32177379,
0.003973,6288.32163381,
0.003974,6288.32149848,
0.003975,6288.3213678,
0.0039759999999999995,6288.32124178,
0.003977,6288.32112042,
0.003978,6288.32100372,
0.003979,6288.32089169,
0.00398,6288.32078433,
0.003981,6288.32068164,
0.003981999999999999,6288.32058363,
0.0039829999999999996,6288.32049029,
0.003984,6288.32040164,
0.003985,6288.32031767,
0.003986,6288.32023838,
0.003987,6288.32016379,
0.003988,6288.32009389,
0.0039889999999999995,6288.32002868,
0.00399,6288.31996818,
0.003991,6288.31991237,
0.003992,6288.31986127,
0.003993,6288.31981488,
0.003994,6288.31977319,
0.003995,6288.31973622,
0.0039959999999999996,6288.31970397,
0.003997,6288.31967643,
0.003998,6288.31965362,
0.003999,6288.31963553,
0.004,6288.31962217,
0.004001,6288.31961354,
0.0040019999999999995,6288.31960964,
0.004003,6288.31961048,
0.004004,6288.31961606,
0.004005,6288.31962638,
0.004006,6288.31964144,
0.004007,6288.31966126,
0.004007999999999999,6288.31968582,
0.0040089999999999995,6288.31971514,
0.00401,6288.31974922,
0.004011,6288.31978806,
0.004012,6288.31983165,
0.004013,6288.31988002,
0.004014,6288.31993315,
0.0040149999999999995,6288.31999106,
0.004016,6288.32005374,
0.004017,6288.32012119,
0.004018,6288.32019343,
0.004019,6288.32027045,
0.00402,6288.32035225,
0.004021,6288.32043885,
0.0040219999999999995,6288.32053023,
0.004023,6288.32062642,
0.004024,6288.32072739,
0.004025,6288.32083317,
0.004026,6288.32094376,
0.004027,6288.32105915,
0.0040279999999999995,6288.32117935,
0.004029,6288.32130436,
0.00403,6288.32143418,
0.004031,6288.32156883,
0.004032,6288.32170829,
0.004033,6288.32185258,
0.004033999999999999,6288.3220017,
0.0040349999999999995,6288.32215564,
0.004036,6288.32231442,
0.004037,6288.32247803,
0.004038,6288.32264649,
0.004039,6288.32281978,
0.00404,6288.32299792,
0.0040409999999999995,6288.3231809,
0.004042,6288.32336874,
0.004043,6288.32356142,
0.004044,6288.32375897,
0.004045,6288.32396137,
0.004046,6288.32416863,
0.004047,6288.32438076,
0.0040479999999999995,6288.32459776,
0.004049,6288.32481962,
0.00405,6288.32504636,
0.004051,6288.32527798,
0.004052,6288.32551447,
0.004053,6288.32575585,
0.0040539999999999994,6288.32600211,
0.004055,6288.32625326,
0.004056,6288.3265093,
0.004057,6288.32677024,
0.004058,6288.32703607,
0.004059,6288.32730679,
0.004059999999999999,6288.32758243,
0.0040609999999999995,6288.32786296,
0.004062,6288.32814841,
0.004063,6288.32843877,
0.004064,6288.32873404,
0.004065,6288.32903422,
0.004066,6288.32933933,
0.0040669999999999994,6288.32964936,
0.004068,6288.32996431,
0.004069,6288.33028419,
0.00407,6288.33060901,
0.004071,6288.33093876,
0.004072,6288.33127344,
0.004073,6288.33161307,
0.0040739999999999995,6288.33195764,
0.004075,6288.33230715,
0.004076,6288.33266161,
0.004077,6288.33302103,
0.004078,6288.33338539,
0.004079,6288.33375472,
0.004079999999999999,6288.33412901,
0.0040809999999999996,6288.33450825,
0.004082,6288.33489247,
0.004083,6288.33528165,
0.004084,6288.33567581,
0.004085,6288.33607494,
0.004085999999999999,6288.33647905,
0.0040869999999999995,6288.33688814,
0.004088,6288.33730221,
0.004089,6288.33772126,
0.00409,6288.33814531,
0.004091,6288.33857435,
0.004092,6288.33900838,
0.004092999999999999,6288.33944741,
0.0040939999999999995,6288.33989145,
0.004095,6288.34034048,
0.004096,6288.34079452,
0.004097,6288.34125358,
0.004098,6288.34171764,
0.004099,6288.34218672,
0.0040999999999999995,6288.34266081,
0.004101,6288.34313993,
0.004102,6288.34362407,
0.004103,6288.34411324,
0.004104,6288.34460744,
0.004105,6288.34510667,
0.004106,6288.34561093,
0.0041069999999999995,6288.34612023,
0.004108,6288.34663458,
0.004109,6288.34715396,
0.00411,6288.3476784,
0.004111,6288.34820788,
0.004111999999999999,6288.34874242,
0.0041129999999999995,6288.34928201,
0.004114,6288.34982666,
0.004115,6288.35037637,
0.004116,6288.35093115,
0.004117,6288.35149099,
0.004118,6288.3520559,
0.004118999999999999,6288.35262589,
0.0041199999999999995,6288.35320095,
0.004121,6288.35378109,
0.004122,6288.35436631,
0.004123,6288.35495661,
0.004124,6288.355552,
0.004125,6288.35615248,
0.0041259999999999995,6288.35675805,
0.004127,6288.35736872,
0.004128,6288.35798449,
0.004129,6288.35860536,
0.00413,6288.35923133,
0.004131,6288.35986241,
0.004132,6288.36049861,
0.0041329999999999995,6288.36113991,
0.004134,6288.36178633,
0.004135,6288.36243787,
0.004136,6288.36309452,
0.004137,6288.36375631,
0.004137999999999999,6288.36442322,
0.0041389999999999995,6288.36509526,
0.00414,6288.36577243,
0.004141,6288.36645474,
0.004142,6288.36714219,
0.004143,6288.36783478,
0.004144,6288.36853251,
0.004144999999999999,6288.36923539,
0.0041459999999999995,6288.36994343,
0.004147,6288.37065661,
0.004148,6288.37137495,
0.004149,6288.37209845,
0.00415,6288.37282711,
0.004151,6288.37356093,
0.0041519999999999994,6288.37429992,
0.004153,6288.37504409,
0.004154,6288.37579342,
0.004155,6288.37654793,
0.004156,6288.37730762,
0.004157,6288.37807249,
0.004158,6288.37884255,
0.0041589999999999995,6288.37961779,
0.00416,6288.38039822,
0.004161,6288.38118385,
0.004162,6288.38197467,
0.004163,6288.38277069,
0.004163999999999999,6288.38357191,
0.004164999999999999,6288.38437834,
0.0041659999999999996,6288.38518997,
0.004167,6288.38600682,
0.004168,6288.38682887,
0.004169,6288.38765614,
0.00417,6288.38848864,
0.004170999999999999,6288.38932635,
0.0041719999999999995,6288.39016928,
0.004173,6288.39101745,
0.004174,6288.39187084,
0.004175,6288.39272947,
0.004176,6288.39359333,
0.004177,6288.39446243,
0.004177999999999999,6288.39533677,
0.0041789999999999996,6288.39621636,
0.00418,6288.39710119,
0.004181,6288.39799128,
0.004182,6288.39888661,
0.004183,6288.39978721,
0.004184,6288.40069306,
0.0041849999999999995,6288.40160417,
0.004186,6288.40252054,
0.004187,6288.40344219,
0.004188,6288.4043691,
0.004189,6288.40530129,
0.004189999999999999,6288.40623875,
0.004190999999999999,6288.40718149,
0.0041919999999999995,6288.40812951,
0.004193,6288.40908281,
0.004194,6288.4100414,
0.004195,6288.41100528,
0.004196,6288.41197446,
0.004196999999999999,6288.41294893,
0.0041979999999999995,6288.41392869,
0.004199,6288.41491376,
0.0042,6288.41590413,
0.004201,6288.41689981,
0.004202,6288.4179008,
0.004203,6288.4189071,
0.004203999999999999,6288.41991872,
0.0042049999999999995,6288.42093565,
0.004206,6288.4219579,
0.004207,6288.42298548,
0.004208,6288.42401839,
0.004209,6288.42505662,
0.00421,6288.42610019,
0.0042109999999999995,6288.42714909,
0.004212,6288.42820333,
0.004213,6288.42926291,
0.004214,6288.43032783,
0.004215,6288.4313981,
0.004215999999999999,6288.43247372,
0.004216999999999999,6288.43355469,
0.0042179999999999995,6288.43464101,
0.004219,6288.4357327,
0.00422,6288.43682974,
0.004221,6288.43793215,
0.004222,6288.43903992,
0.004222999999999999,6288.44015306,
0.0042239999999999995,6288.44127157,
0.004225,6288.44239546,
0.004226,6288.44352472,
0.004227,6288.44465937,
0.004228,6288.4457994,
0.004229,6288.44694481,
0.004229999999999999,6288.44809561,
0.0042309999999999995,6288.4492518,
0.004232,6288.45041339,
0.004233,6288.45158038,
0.004234,6288.45275276,
0.004235,6288.45393055,
0.004236,6288.45511374,
0.0042369999999999994,6288.45630234,
0.004238,6288.45749635,
0.004239,6288.45869578,
0.00424,6288.45990062,
0.004241,6288.46111088,
0.004241999999999999,6288.46232656,
0.004242999999999999,6288.46354767,
0.0042439999999999995,6288.46477421,
0.004245,6288.46600618,
0.004246,6288.46724358,
0.004247,6288.46848641,
0.004248,6288.46973469,
0.004248999999999999,6288.47098841,
0.0042499999999999994,6288.47224757,
0.004251,6288.47351218,
0.004252,6288.47478224,
0.004253,6288.47605776,
0.004254,6288.47733873,
0.004255,6288.47862516,
0.004255999999999999,6288.47991705,
0.0042569999999999995,6288.4812144,
0.004258,6288.48251722,
0.004259,6288.48382551,
0.00426,6288.48513928,
0.004261,6288.48645851,
0.004262,6288.48778323,
0.004262999999999999,6288.48911343,
0.0042639999999999996,6288.49044911,
0.004265,6288.49179028,
0.004266,6288.49313694,
0.004267,6288.49448909,
0.004267999999999999,6288.49584674,
0.004268999999999999,6288.49720988,
0.0042699999999999995,6288.49857853,
0.004271,6288.49995267,
0.004272,6288.50133233,
0.004273,6288.50271749,
0.004274,6288.50410816,
0.004274999999999999,6288.50550435,
0.004275999999999999,6288.50690606,
0.0042769999999999996,6288.50831328,
0.004278,6288.50972603,
0.004279,6288.51114431,
0.00428,6288.51256811,
0.004281,6288.51399744,
0.004281999999999999,6288.51543231,
0.0042829999999999995,6288.51687272,
0.004284,6288.51831866,
0.004285,6288.51977015,
0.004286,6288.52122718,
0.004287,6288.52268976,
0.004288,6288.52415789,
0.004288999999999999,6288.52563158,
0.0042899999999999995,6288.52711082,
0.004291,6288.52859561,
0.004292,6288.53008597,
0.004293,6288.5315819,
0.004294,6288.53308339,
0.004294999999999999,6288.53459045,
0.0042959999999999995,6288.53610309,
0.004297,6288.5376213,
0.004298,6288.53914509,
0.004299,6288.54067446,
0.0043,6288.54220941,
0.004300999999999999,6288.54374996,
0.004301999999999999,6288.54529609,
0.0043029999999999995,6288.54684781,
0.004304,6288.54840512,
0.004305,6288.54996804,
0.004306,6288.55153656,
0.004307,6288.55311067,
0.004307999999999999,6288.5546904,
0.0043089999999999995,6288.55627573,
0.00431,6288.55786668,
0.004311,6288.55946324,
0.004312,6288.56106541,
0.004313,6288.56267321,
0.004314,6288.56428663,
0.004314999999999999,6288.56590567,
0.0043159999999999995,6288.56753034,
0.004317,6288.56916064,
0.004318,6288.57079658,
0.004319,6288.57243815,
0.00432,6288.57408536,
0.004320999999999999,6288.57573822,
0.0043219999999999995,6288.57739671,
0.004323,6288.57906086,
0.004324,6288.58073065,
0.004325,6288.5824061,
0.004326,6288.5840872,
0.004326999999999999,6288.58577396,
0.004327999999999999,6288.58746639,
0.0043289999999999995,6288.58916447,
0.00433,6288.59086823,
0.004331,6288.59257765,
0.004332,6288.59429274,
0.004333,6288.59601351,
0.004333999999999999,6288.59773996,
0.0043349999999999994,6288.59947208,
0.004336,6288.60120989,
0.004337,6288.60295339,
0.004338,6288.60470257,
0.004339,6288.60645744,
0.00434,6288.60821801,
0.004340999999999999,6288.60998428,
0.0043419999999999995,6288.61175624,
0.004343,6288.61353391,
0.004344,6288.61531728,
0.004345,6288.61710635,
0.004346,6288.61890114,
0.004346999999999999,6288.62070165,
0.0043479999999999994,6288.62250786,
0.004349,6288.6243198,
0.00435,6288.62613746,
0.004351,6288.62796084,
0.004352,6288.62978994,
0.004352999999999999,6288.63162478,
0.004353999999999999,6288.63346535,
0.0043549999999999995,6288.63531165,
0.004356,6288.63716369,
0.004357,6288.63902148,
0.004358,6288.640885,
0.004359,6288.64275427,
0.004359999999999999,6288.64462929,
0.004360999999999999,6288.64651006,
0.0043619999999999996,6288.64839658,
0.004363,6288.65028886,
0.004364,6288.6521869,
0.004365,6288.6540907,
0.004366,6288.65600027,
0.004366999999999999,6288.6579156,
0.0043679999999999995,6288.6598367,
0.004369,6288.66176358,
0.00437,6288.66369623,
0.004371,6288.66563466,
0.004372,6288.66757887,
0.004373,6288.66952887,
0.004373999999999999,6288.67148465,
0.0043749999999999995,6288.67344622,
0.004376,6288.67541358,
0.004377,6288.67738674,
0.004378,6288.67936569,
0.004378999999999999,6288.68135044,
0.004379999999999999,6288.683341,
0.0043809999999999995,6288.68533736,
0.004382,6288.68733953,
0.004383,6288.68934751,
0.004384,6288.6913613,
0.004385,6288.69338091,
0.004385999999999999,6288.69540634,
0.004386999999999999,6288.69743759,
0.0043879999999999995,6288.69947466,
0.004389,6288.70151756,
0.00439,6288.70356629,
0.004391,6288.70562085,
0.004392,6288.70768125,
0.004392999999999999,6288.70974749,
0.0043939999999999995,6288.71181956,
0.004395,6288.71389748,
0.004396,6288.71598124,
0.004397,6288.71807085,
0.004398,6288.72016632,
0.004399,6288.72226763,
0.004399999999999999,6288.72437481,
0.0044009999999999995,6288.72648784,
0.004402,6288.72860673,
0.004403,6288.73073149,
0.004404,6288.73286212,
0.004404999999999999,6288.73499861,
0.004405999999999999,6288.73714098,
0.0044069999999999995,6288.73928922,
0.004408,6288.74144334,
0.004409,6288.74360334,
0.00441,6288.74576923,
0.004411,6288.747941,
0.004411999999999999,6288.75011866,
0.004412999999999999,6288.75230221,
0.0044139999999999995,6288.75449165,
0.004415,6288.75668699,
0.004416,6288.75888823,
0.004417,6288.76109537,
0.004418,6288.76330842,
0.004418999999999999,6288.76552737,
0.0044199999999999995,6288.76775224,
0.004421,6288.76998301,
0.004422,6288.7722197,
0.004423,6288.77446231,
0.004424,6288.77671084,
0.004425,6288.77896529,
0.004425999999999999,6288.78122567,
0.0044269999999999995,6288.78349198,
0.004428,6288.78576422,
0.004429,6288.78804239,
0.00443,6288.7903265,
0.004430999999999999,6288.79261654,
0.004431999999999999,6288.79491253,
0.0044329999999999994,6288.79721447,
0.004434,6288.79952235,
0.004435,6288.80183618,
0.004436,6288.80415596,
0.004437,6288.8064817,
0.004437999999999999,6288.80881339,
0.004438999999999999,6288.81115105,
0.0044399999999999995,6288.81349467,
0.004441,6288.81584425,
0.004442,6288.81819981,
0.004443,6288.82056133,
0.004444,6288.82292883,
0.004444999999999999,6288.8253023,
0.004445999999999999,6288.82768175,
0.0044469999999999996,6288.83006719,
0.004448,6288.8324586,
0.004449,6288.83485601,
0.00445,6288.8372594,
0.004451,6288.83966879,
0.004451999999999999,6288.84208417,
0.0044529999999999995,6288.84450555,
0.004454,6288.84693292,
0.004455,6288.84936631,
0.004456,6288.85180569,
0.004456999999999999,6288.85425108,
0.004457999999999999,6288.85670249,
0.004458999999999999,6288.8591599,
0.0044599999999999996,6288.86162334,
0.004461,6288.86409279,
0.004462,6288.86656826,
0.004463,6288.86904975,
0.004463999999999999,6288.87153728,
0.004464999999999999,6288.87403083,
0.0044659999999999995,6288.87653041,
0.004467,6288.87903602,
0.004468,6288.88154768,
0.004469,6288.88406537,
0.00447,6288.8865891,
0.004470999999999999,6288.88911888,
0.004471999999999999,6288.8916547,
0.0044729999999999995,6288.89419658,
0.004474,6288.89674451,
0.004475,6288.89929849,
0.004476,6288.90185853,
0.004477,6288.90442463,
0.004477999999999999,6288.90699679,
0.0044789999999999995,6288.90957502,
0.00448,6288.91215932,
0.004481,6288.91474968,
0.004482,6288.91734612,
0.004482999999999999,6288.91994864,
0.004484,6288.92255723,
0.004484999999999999,6288.92517191,
0.0044859999999999995,6288.92779267,
0.004487,6288.93041951,
0.004488,6288.93305244,
0.004489,6288.93569147,
0.004489999999999999,6288.93833659,
0.004490999999999999,6288.9409878,
0.0044919999999999995,6288.94364512,
0.004493,6288.94630854,
0.004494,6288.94897806,
0.004495,6288.95165369,
0.004496,6288.95433542,
