Lambda,Error,
0.0035,6288.85534905,
0.003501,6288.85334079,
0.003502,6288.85133579,
0.003503,6288.84933408,
0.003504,6288.84733564,
0.003505,6288.84534048,
0.003506,6288.8433486,
0.003507,6288.84136002,
0.0035080000000000003,6288.83937472,
0.003509,6288.83739271,
0.00351,6288.835414,
0.0035110000000000002,6288.83343859,
0.003512,6288.83146648,
0.003513,6288.82949768,
0.003514,6288.82753218,
0.003515,6288.82556999,
0.003516,6288.82361111,
0.003517,6288.82165555,
0.003518,6288.81970331,
0.003519,6288.81775439,
0.00352,6288.81580879,
0.0035210000000000003,6288.81386652,
0.003522,6288.81192758,
0.003523,6288.80999197,
0.0035240000000000002,6288.8080597,
0.003525,6288.80613076,
0.003526,6288.80420517,
0.003527,6288.80228292,
0.003528,6288.80036402,
0.003529,6288.79844847,
0.00353,6288.79653627,
0.003531,6288.79462743,
0.003532,6288.79272195,
0.003533,6288.79081983,
0.0035340000000000002,6288.78892107,
0.003535,6288.78702568,
0.003536,6288.78513366,
0.003537,6288.78324501,
0.003538,6288.78135974,
0.003539,6288.77947785,
0.00354,6288.77759934,
0.003541,6288.77572421,
0.003542,6288.77385247,
0.003543,6288.77198412,
0.003544,6288.77011917,
0.003545,6288.76825761,
0.003546,6288.76639945,
0.0035470000000000002,6288.76454469,
0.003548,6288.76269334,
0.003549,6288.76084539,
0.00355,6288.75900085,
0.003551,6288.75715973,
0.003552,6288.75532203,
0.003553,6288.75348774,
0.003554,6288.75165687,
0.003555,6288.74982943,
0.003556,6288.74800542,
0.0035570000000000003,6288.74618484,
0.003558,6288.74436769,
0.003559,6288.74255398,
0.0035600000000000002,6288.74074371,
0.003561,6288.73893688,
0.003562,6288.73713349,
0.003563,6288.73533356,
0.003564,6288.73353707,
0.003565,6288.73174404,
0.003566,6288.72995446,
0.003567,6288.72816835,
0.003568,6288.7263857,
0.003569,6288.72460651,
0.0035700000000000003,6288.72283079,
0.003571,6288.72105854,
0.003572,6288.71928977,
0.0035730000000000002,6288.71752447,
0.003574,6288.71576265,
0.003575,6288.71400432,
0.003576,6288.71224947,
0.003577,6288.71049811,
0.003578,6288.70875024,
0.003579,6288.70700586,
0.00358,6288.70526498,
0.003581,6288.70352761,
0.003582,6288.70179373,
0.0035830000000000002,6288.70006336,
0.003584,6288.6983365,
0.003585,6288.69661316,
0.003586,6288.69489332,
0.003587,6288.69317701,
0.003588,6288.69146421,
0.003589,6288.68975494,
0.00359,6288.68804919,
0.003591,6288.68634697,
0.003592,6288.68464829,
0.003593,6288.68295314,
0.003594,6288.68126153,
0.003595,6288.67957345,
0.0035960000000000002,6288.67788892,
0.003597,6288.67620794,
0.003598,6288.67453051,
0.003599,6288.67285663,
0.0036,6288.67118631,
0.003601,6288.66951954,
0.003602,6288.66785633,
0.003603,6288.66619669,
0.003604,6288.66454062,
0.003605,6288.66288811,
0.003606,6288.66123918,
0.003607,6288.65959382,
0.003608,6288.65795204,
0.0036090000000000002,6288.65631384,
0.00361,6288.65467923,
0.003611,6288.65304821,
0.003612,6288.65142077,
0.003613,6288.64979693,
0.003614,6288.64817668,
0.003615,6288.64656003,
0.003616,6288.64494698,
0.003617,6288.64333754,
0.003618,6288.64173171,
0.003619,6288.64012948,
0.00362,6288.63853087,
0.003621,6288.63693588,
0.0036220000000000002,6288.6353445,
