Cy,Cx,Lambda,Error,
-10,30,0.00208,3026482.76037,
-10,30,0.0020803999999999996,3025900.39347,
-10,30,0.0020808,3025318.25059,
-10,30,0.0020811999999999996,3024736.33162,
-10,30,0.0020816,3024154.63642,
-10,30,0.0020819999999999996,3023573.16486,
-10,30,0.0020824,3022991.91681,
-10,30,0.0020827999999999997,3022410.89215,
-10,30,0.0020832,3021830.09074,
-10,30,0.0020835999999999997,3021249.51245,
-10,30,0.002084,3020669.15717,
-10,30,0.0020843999999999997,3020089.02475,
-10,30,0.0020848,3019509.11508,
-10,30,0.0020851999999999997,3018929.42802,
-10,30,0.0020856,3018349.96345,
-10,30,0.0020859999999999997,3017770.72123,
-10,30,0.0020864,3017191.70124,
-10,30,0.0020867999999999998,3016612.90336,
-10,30,0.0020872,3016034.32744,
-10,30,0.0020876,3015455.97338,
-10,30,0.002088,3014877.84103,
-10,30,0.0020884,3014299.93028,
-10,30,0.0020888,3013722.24099,
-10,30,0.0020892,3013144.77304,
-10,30,0.0020896,3012567.5263,
-10,30,0.00209,3011990.50064,
-10,30,0.0020903999999999996,3011413.69594,
-10,30,0.0020908,3010837.11207,
-10,30,0.0020911999999999997,3010260.7489,
-10,30,0.0020916,3009684.60631,
-10,30,0.0020919999999999997,3009108.68417,
-10,30,0.0020924,3008532.98235,
-10,30,0.0020927999999999997,3007957.50073,
-10,30,0.0020932,3007382.23918,
-10,30,0.0020935999999999997,3006807.19758,
-10,30,0.002094,3006232.37579,
-10,30,0.0020943999999999997,3005657.7737,
-10,30,0.0020948,3005083.39118,
-10,30,0.0020951999999999998,3004509.22809,
-10,30,0.0020956,3003935.28433,
-10,30,0.0020959999999999998,3003361.55975,
-10,30,0.0020964,3002788.05424,
-10,30,0.0020968,3002214.76767,
-10,30,0.0020972,3001641.69991,
-10,30,0.0020976,3001068.85084,
-10,30,0.002098,3000496.22034,
-10,30,0.0020984,2999923.80828,
-10,30,0.0020988,2999351.61453,
-10,30,0.0020992,2998779.63897,
-10,30,0.0020996,2998207.88148,
-10,30,0.0021,2997636.34193,
-10,30,0.0021003999999999997,2997065.02019,
-10,30,0.0021008,2996493.91615,
-10,30,0.0021011999999999997,2995923.02967,
-10,30,0.0021016,2995352.36064,
-10,30,0.0021019999999999997,2994781.90892,
-10,30,0.0021024,2994211.6744,
-10,30,0.0021027999999999997,2993641.65695,
-10,30,0.0021032,2993071.85645,
-10,30,0.0021035999999999997,2992502.27278,
-10,30,0.002104,2991932.9058,
-10,30,0.0021043999999999998,2991363.7554,
-10,30,0.0021048,2990794.82146,
-10,30,0.0021051999999999998,2990226.10384,
-10,30,0.0021056,2989657.60243,
-10,30,0.002106,2989089.31711,
-10,30,0.0021064,2988521.24774,
-10,30,0.0021068,2987953.39421,
-10,30,0.0021072,2987385.7564,
-10,30,0.0021076,2986818.33418,
-10,30,0.002108,2986251.12743,
-10,30,0.0021084,2985684.13602,
-10,30,0.0021088,2985117.35984,
-10,30,0.0021092,2984550.79876,
-10,30,0.0021096,2983984.45266,
-10,30,0.00211,2983418.32142,
-10,30,0.0021103999999999997,2982852.40491,
-10,30,0.0021108,2982286.70302,
-10,30,0.0021111999999999997,2981721.21561,
-10,30,0.0021116,2981155.94258,
-10,30,0.0021119999999999997,2980590.88379,
-10,30,0.0021124,2980026.03913,
-10,30,0.0021127999999999997,2979461.40847,
-10,30,0.0021132,2978896.9917,
-10,30,0.0021135999999999998,2978332.78869,
-10,30,0.002114,2977768.79932,
-10,30,0.0021144,2977205.02346,
-10,30,0.0021148,2976641.46101,
-10,30,0.0021152,2976078.11183,
-10,30,0.0021156,2975514.9758,
-10,30,0.002116,2974952.05282,
-10,30,0.0021164,2974389.34274,
-10,30,0.0021168,2973826.84546,
-10,30,0.0021172,2973264.56086,
-10,30,0.0021176,2972702.4888,
-10,30,0.002118,2972140.62918,
-10,30,0.0021184,2971578.98187,
-10,30,0.0021188,2971017.54675,
-10,30,0.0021192,2970456.32371,
-10,30,0.0021196,2969895.31261,
-10,31,0.0021196,2969878.55107,
-10,32,0.0021196,2969861.79309,
-10,33,0.0021196,2969845.03877,
-10,34,0.0021196,2969828.28819,
-10,35,0.0021196,2969811.54144,
-10,36,0.0021196,2969794.7986,
-10,37,0.0021196,2969778.05975,
-10,38,0.0021196,2969761.32499,
-10,39,0.0021196,2969744.59439,
-10,40,0.0021196,2969727.86804,
-10,41,0.0021196,2969711.14603,
-10,42,0.0021196,2969694.42844,
-10,43,0.0021196,2969677.71535,
-10,44,0.0021196,2969661.00686,
-10,45,0.0021196,2969644.30304,
-10,46,0.0021196,2969627.60399,
-10,47,0.0021196,2969610.90978,
-10,48,0.0021196,2969594.2205,
-10,49,0.0021196,2969577.53623,
-10,50,0.0021196,2969560.85707,
-10,51,0.0021196,2969544.18309,
-10,52,0.0021196,2969527.51439,
-10,53,0.0021196,2969510.85103,
-10,54,0.0021196,2969494.19312,
-10,55,0.0021196,2969477.54073,
-10,56,0.0021196,2969460.89395,
-10,57,0.0021196,2969444.25287,
-10,58,0.0021196,2969427.61756,
-10,59,0.0021196,2969410.98811,
-10,60,0.0021196,2969394.36461,
-10,61,0.0021196,2969377.74715,
-10,62,0.0021196,2969361.13579,
-10,63,0.0021196,2969344.53064,
-10,64,0.0021196,2969327.93178,
-10,65,0.0021196,2969311.33928,
-10,66,0.0021196,2969294.75323,
-10,67,0.0021196,2969278.17372,
-10,68,0.0021196,2969261.60084,
-10,69,0.0021196,2969245.03465,
