Cy,Cx,Lambda,Error,
0,30,0.00208,3032480.4905,
0,30,0.0020803999999999996,3031900.24843,
0,30,0.0020808,3031320.23064,
0,30,0.0020811999999999996,3030740.43703,
0,30,0.0020816,3030160.86746,
0,30,0.0020819999999999996,3029581.5218,
0,30,0.0020824,3029002.39992,
0,30,0.0020827999999999997,3028423.50169,
0,30,0.0020832,3027844.82699,
0,30,0.0020835999999999997,3027266.37568,
0,30,0.002084,3026688.14764,
0,30,0.0020843999999999997,3026110.14274,
0,30,0.0020848,3025532.36085,
0,30,0.0020851999999999997,3024954.80185,
0,30,0.0020856,3024377.46559,
0,30,0.0020859999999999997,3023800.35196,
0,30,0.0020864,3023223.46084,
0,30,0.0020867999999999998,3022646.79208,
0,30,0.0020872,3022070.34556,
0,30,0.0020876,3021494.12116,
0,30,0.002088,3020918.11875,
0,30,0.0020884,3020342.3382,
0,30,0.0020888,3019766.77938,
0,30,0.0020892,3019191.44216,
0,30,0.0020896,3018616.32642,
0,30,0.00209,3018041.43204,
0,30,0.0020903999999999996,3017466.75888,
0,30,0.0020908,3016892.30682,
0,30,0.0020911999999999997,3016318.07573,
0,30,0.0020916,3015744.06548,
0,30,0.0020919999999999997,3015170.27595,
0,30,0.0020924,3014596.70701,
0,30,0.0020927999999999997,3014023.35853,
0,30,0.0020932,3013450.2304,
0,30,0.0020935999999999997,3012877.32248,
0,30,0.002094,3012304.63464,
0,30,0.0020943999999999997,3011732.16676,
0,30,0.0020948,3011159.91872,
0,30,0.0020951999999999998,3010587.89039,
0,30,0.0020956,3010016.08164,
0,30,0.0020959999999999998,3009444.49234,
0,30,0.0020964,3008873.12238,
0,30,0.0020968,3008301.97163,
0,30,0.0020972,3007731.03995,
0,30,0.0020976,3007160.32723,
0,30,0.002098,3006589.83335,
0,30,0.0020984,3006019.55817,
0,30,0.0020988,3005449.50157,
0,30,0.0020992,3004879.66342,
0,30,0.0020996,3004310.04361,
0,30,0.0021,3003740.642,
0,30,0.0021003999999999997,3003171.45848,
0,30,0.0021008,3002602.49291,
0,30,0.0021011999999999997,3002033.74518,
0,30,0.0021016,3001465.21515,
0,30,0.0021019999999999997,3000896.90271,
0,30,0.0021024,3000328.80774,
0,30,0.0021027999999999997,2999760.93009,
0,30,0.0021032,2999193.26966,
0,30,0.0021035999999999997,2998625.82632,
0,30,0.002104,2998058.59995,
0,30,0.0021043999999999998,2997491.59042,
0,30,0.0021048,2996924.7976,
0,30,0.0021051999999999998,2996358.22139,
0,30,0.0021056,2995791.86164,
0,30,0.002106,2995225.71824,
0,30,0.0021064,2994659.79106,
0,30,0.0021068,2994094.07999,
0,30,0.0021072,2993528.5849,
0,30,0.0021076,2992963.30567,
0,30,0.002108,2992398.24216,
0,30,0.0021084,2991833.39427,
0,30,0.0021088,2991268.76187,
0,30,0.0021092,2990704.34483,
0,30,0.0021096,2990140.14304,
0,30,0.00211,2989576.15637,
0,30,0.0021103999999999997,2989012.38469,
0,30,0.0021108,2988448.8279,
0,30,0.0021111999999999997,2987885.48586,
0,30,0.0021116,2987322.35845,
0,30,0.0021119999999999997,2986759.44555,
0,30,0.0021124,2986196.74704,
0,30,0.0021127999999999997,2985634.2628,
0,30,0.0021132,2985071.99271,
0,30,0.0021135999999999998,2984509.93664,
0,30,0.002114,2983948.09447,
0,30,0.0021144,2983386.46609,
0,30,0.0021148,2982825.05137,
0,30,0.0021152,2982263.85019,
0,30,0.0021156,2981702.86242,
0,30,0.002116,2981142.08796,
0,30,0.0021164,2980581.52667,
0,30,0.0021168,2980021.17843,
0,30,0.0021172,2979461.04314,
0,30,0.0021176,2978901.12066,
0,30,0.002118,2978341.41087,
0,30,0.0021184,2977781.91366,
0,30,0.0021188,2977222.6289,
0,30,0.0021192,2976663.55647,
0,30,0.0021196,2976104.69626,
0,31,0.0021196,2976088.69679,
0,32,0.0021196,2976072.68767,
0,33,0.0021196,2976056.66899,
0,34,0.0021196,2976040.64083,
0,35,0.0021196,2976024.60327,
0,36,0.0021196,2976008.55637,
0,37,0.0021196,2975992.50024,
0,38,0.0021196,2975976.43494,
0,39,0.0021196,2975960.36055,
0,40,0.0021196,2975944.27715,
0,41,0.0021196,2975928.18483,
0,42,0.0021196,2975912.08366,
0,43,0.0021196,2975895.97373,
0,44,0.0021196,2975879.85511,
0,45,0.0021196,2975863.72788,
0,46,0.0021196,2975847.59212,
0,47,0.0021196,2975831.44792,
0,48,0.0021196,2975815.29534,
0,49,0.0021196,2975799.13449,
0,50,0.0021196,2975782.96543,
0,51,0.0021196,2975766.78824,
0,52,0.0021196,2975750.603,
0,53,0.0021196,2975734.4098,
0,54,0.0021196,2975718.20872,
0,55,0.0021196,2975701.99983,
0,56,0.0021196,2975685.78323,
0,57,0.0021196,2975669.55897,
0,58,0.0021196,2975653.32716,
0,59,0.0021196,2975637.08787,
0,60,0.0021196,2975620.84117,
0,61,0.0021196,2975604.58716,
0,62,0.0021196,2975588.32591,
0,63,0.0021196,2975572.05751,
0,64,0.0021196,2975555.78202,
0,65,0.0021196,2975539.49955,
0,66,0.0021196,2975523.21016,
0,67,0.0021196,2975506.91394,
0,68,0.0021196,2975490.61096,
0,69,0.0021196,2975474.30132,
