Cy,Cx,Lambda,Error,
0,30,0.00208,3026775.53304,
0,30,0.0020803999999999996,3026193.27461,
0,30,0.0020808,3025611.24022,
0,30,0.0020811999999999996,3025029.42974,
0,30,0.0020816,3024447.84306,
0,30,0.0020819999999999996,3023866.48003,
0,30,0.0020824,3023285.34053,
0,30,0.0020827999999999997,3022704.42444,
0,30,0.0020832,3022123.73162,
0,30,0.0020835999999999997,3021543.26194,
0,30,0.002084,3020963.01527,
0,30,0.0020843999999999997,3020382.9915,
0,30,0.0020848,3019803.19048,
0,30,0.0020851999999999997,3019223.6121,
0,30,0.0020856,3018644.25622,
0,30,0.0020859999999999997,3018065.12271,
0,30,0.0020864,3017486.21145,
0,30,0.0020867999999999998,3016907.52231,
0,30,0.0020872,3016329.05516,
0,30,0.0020876,3015750.80987,
0,30,0.002088,3015172.78633,
0,30,0.0020884,3014594.98439,
0,30,0.0020888,3014017.40393,
0,30,0.0020892,3013440.04483,
0,30,0.0020896,3012862.90696,
0,30,0.00209,3012285.99018,
0,30,0.0020903999999999996,3011709.29439,
0,30,0.0020908,3011132.81943,
0,30,0.0020911999999999997,3010556.5652,
0,30,0.0020916,3009980.53157,
0,30,0.0020919999999999997,3009404.7184,
0,30,0.0020924,3008829.12557,
0,30,0.0020927999999999997,3008253.75296,
0,30,0.0020932,3007678.60043,
0,30,0.0020935999999999997,3007103.66787,
0,30,0.002094,3006528.95515,
0,30,0.0020943999999999997,3005954.46214,
0,30,0.0020948,3005380.18871,
0,30,0.0020951999999999998,3004806.13474,
0,30,0.0020956,3004232.3001,
0,30,0.0020959999999999998,3003658.68467,
0,30,0.0020964,3003085.28833,
0,30,0.0020968,3002512.11094,
0,30,0.0020972,3001939.15238,
0,30,0.0020976,3001366.41253,
0,30,0.002098,3000793.89127,
0,30,0.0020984,3000221.58846,
0,30,0.0020988,2999649.50398,
0,30,0.0020992,2999077.63771,
0,30,0.0020996,2998505.98952,
0,30,0.0021,2997934.55929,
0,30,0.0021003999999999997,2997363.34689,
0,30,0.0021008,2996792.35221,
0,30,0.0021011999999999997,2996221.57511,
0,30,0.0021016,2995651.01547,
0,30,0.0021019999999999997,2995080.67316,
0,30,0.0021024,2994510.54807,
0,30,0.0021027999999999997,2993940.64007,
0,30,0.0021032,2993370.94903,
0,30,0.0021035999999999997,2992801.47483,
0,30,0.002104,2992232.21736,
0,30,0.0021043999999999998,2991663.17647,
0,30,0.0021048,2991094.35206,
0,30,0.0021051999999999998,2990525.74399,
0,30,0.0021056,2989957.35215,
0,30,0.002106,2989389.17641,
0,30,0.0021064,2988821.21665,
0,30,0.0021068,2988253.47274,
0,30,0.0021072,2987685.94456,
0,30,0.0021076,2987118.632,
0,30,0.002108,2986551.53492,
0,30,0.0021084,2985984.6532,
0,30,0.0021088,2985417.98673,
0,30,0.0021092,2984851.53537,
0,30,0.0021096,2984285.29901,
0,30,0.00211,2983719.27753,
0,30,0.0021103999999999997,2983153.4708,
0,30,0.0021108,2982587.8787,
0,30,0.0021111999999999997,2982022.50111,
0,30,0.0021116,2981457.3379,
0,30,0.0021119999999999997,2980892.38896,
0,30,0.0021124,2980327.65416,
0,30,0.0021127999999999997,2979763.13339,
0,30,0.0021132,2979198.82651,
0,30,0.0021135999999999998,2978634.73342,
0,30,0.002114,2978070.85398,
0,30,0.0021144,2977507.18808,
0,30,0.0021148,2976943.73559,
0,30,0.0021152,2976380.4964,
0,30,0.0021156,2975817.47038,
0,30,0.002116,2975254.65741,
0,30,0.0021164,2974692.05737,
0,30,0.0021168,2974129.67015,
0,30,0.0021172,2973567.49562,
0,30,0.0021176,2973005.53365,
0,30,0.002118,2972443.78414,
0,30,0.0021184,2971882.24695,
0,30,0.0021188,2971320.92198,
0,30,0.0021192,2970759.80909,
0,30,0.0021196,2970198.90817,
0,31,0.0021196,2970182.15197,
0,32,0.0021196,2970165.39912,
0,33,0.0021196,2970148.64972,
0,34,0.0021196,2970131.90384,
0,35,0.0021196,2970115.16157,
0,36,0.0021196,2970098.42301,
0,37,0.0021196,2970081.68823,
0,38,0.0021196,2970064.95731,
0,39,0.0021196,2970048.23035,
0,40,0.0021196,2970031.50742,
0,41,0.0021196,2970014.78862,
0,42,0.0021196,2969998.07403,
0,43,0.0021196,2969981.36373,
0,44,0.0021196,2969964.6578,
0,45,0.0021196,2969947.95634,
0,46,0.0021196,2969931.25943,
0,47,0.0021196,2969914.56714,
0,48,0.0021196,2969897.87958,
0,49,0.0021196,2969881.19682,
0,50,0.0021196,2969864.51894,
0,51,0.0021196,2969847.84603,
0,52,0.0021196,2969831.17818,
0,53,0.0021196,2969814.51547,
0,54,0.0021196,2969797.85799,
0,55,0.0021196,2969781.20581,
0,56,0.0021196,2969764.55903,
0,57,0.0021196,2969747.91773,
0,58,0.0021196,2969731.28199,
0,59,0.0021196,2969714.65189,
0,60,0.0021196,2969698.02753,
0,61,0.0021196,2969681.40899,
0,62,0.0021196,2969664.79634,
0,63,0.0021196,2969648.18968,
0,64,0.0021196,2969631.58909,
0,65,0.0021196,2969614.99465,
0,66,0.0021196,2969598.40645,
0,67,0.0021196,2969581.82457,
0,68,0.0021196,2969565.2491,
0,69,0.0021196,2969548.68011,
